id,firstName,lastName,email,phone
1,Orlando,Gee,orlando0@adventure-works.com,245-555-0173
2,Keith,Harris,keith0@adventure-works.com,170-555-0127
3,Donna,Carreras,donna0@adventure-works.com,279-555-0130
4,Janet,Gates,janet1@adventure-works.com,710-555-0173
5,Lucy,Harrington,lucy0@adventure-works.com,828-555-0186
6,Rosmarie,Carroll,rosmarie0@adventure-works.com,244-555-0112
7,Dominic,Gash,dominic0@adventure-works.com,192-555-0173
10,Kathleen,Garza,kathleen0@adventure-works.com,150-555-0127
11,Katherine,Harding,katherine0@adventure-works.com,926-555-0159
12,Johnny,Caprio,johnny0@adventure-works.com,112-555-0191
16,Christopher,Beck,christopher1@adventure-works.com,1 (11) 500 555-0132
